MCS,Cell_ID,Cell_TarVol,Cell_Vol,Cell_TarSur,Cell_Sur
0,2326,84.0,83,0.0,42.0
0,2327,144.0,143,0.0,52.0
0,2328,105.0,106,0.0,48.0
0,2329,78.0,78,0.0,44.0
0,2330,104.0,104,0.0,48.0
0,2331,202.0,203,0.0,66.0
0,2332,115.0,116,0.0,46.0
0,2333,122.0,121,0.0,52.0
0,2334,144.0,144,0.0,58.0
0,2335,158.0,159,0.0,62.0
0,2336,276.0,276,0.0,80.0
0,2337,75.0,75,0.0,40.0
0,2338,103.0,103,0.0,48.0
0,2339,123.0,122,0.0,46.0
0,2340,70.0,71,0.0,40.0
0,2341,103.0,103,0.0,52.0
0,2342,117.0,117,0.0,46.0
0,2343,289.0,290,0.0,80.0
0,2344,132.0,131,0.0,54.0
0,2345,60.0,60,0.0,34.0
0,2346,100.0,100,0.0,48.0
0,2347,132.0,130,0.0,54.0
0,2348,106.0,107,0.0,50.0
0,2349,66.0,66,0.0,36.0
0,2350,94.0,95,0.0,44.0
0,2351,183.0,182,0.0,60.0
0,2352,112.0,113,0.0,48.0
0,2353,104.0,104,0.0,48.0
0,2354,115.0,114,0.0,46.0
0,2355,187.0,186,0.0,62.0
0,2356,100.0,99,0.0,46.0
0,2357,70.0,69,0.0,38.0
0,2358,30.0,29,0.0,32.0
0,2359,100.0,101,0.0,44.0
0,2360,104.0,103,0.0,46.0
0,2361,126.0,127,0.0,50.0
0,2362,172.0,172,0.0,58.0
0,2363,118.0,118,0.0,54.0
0,2364,128.0,128,0.0,54.0
0,2365,109.0,109,0.0,46.0
0,2366,114.0,113,0.0,54.0
0,2367,88.0,87,0.0,46.0
0,2368,130.0,130,0.0,52.0
0,2369,160.0,159,0.0,64.0
0,2370,294.0,295,0.0,78.0
0,2371,78.0,77,0.0,38.0
0,2372,67.0,67,0.0,38.0
0,2373,195.0,195,0.0,60.0
0,2374,110.0,111,0.0,50.0
0,2375,98.0,99,0.0,46.0
0,2376,81.0,80,0.0,48.0
0,2377,91.0,90,0.0,44.0
0,2378,87.0,87,0.0,48.0
0,2379,101.0,100,0.0,48.0
0,2380,113.0,113,0.0,44.0
0,2381,94.0,94,0.0,50.0
0,2382,260.0,259,0.0,82.0
0,2383,63.0,63,0.0,42.0
0,2384,34.0,32,0.0,26.0
0,2385,101.0,101,0.0,56.0
0,2386,125.0,125,0.0,54.0
0,2387,72.0,71,0.0,42.0
0,2388,120.0,120,0.0,48.0
0,2389,90.0,91,0.0,42.0
0,2390,197.0,197,0.0,66.0
0,2391,62.0,61,0.0,36.0
0,2392,120.0,119,0.0,52.0
0,2393,137.0,137,0.0,58.0
0,2394,133.0,131,0.0,56.0
0,2395,70.0,70,0.0,42.0
0,2396,173.0,173,0.0,62.0
0,2397,153.0,154,0.0,58.0
0,2398,186.0,186,0.0,62.0
0,2399,117.0,116,0.0,46.0
0,2400,95.0,95,0.0,46.0
0,2401,113.0,113,0.0,50.0
